route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,5,0,N+SE,0
1,5,0,N,0
2,5,0,,0
3,5,0,N,0
4,5,2,S+SE,2
5,5,0,,0
6,5,0,S+SE,0
7,5,2,N,2
8,5,0,N,0
9,5,0,N+NE,0
10,5,0,N+NE,0
11,5,0,S+E,0
12,5,2,S,2
13,5,0,N,0
14,5,2,N,2
15,5,0,N+S+NE,0
16,5,0,S+SE+E,0
17,5,0,NE+E,0
18,5,0,S+SE,0
19,5,2,N+E,2
20,5,0,N+S+E,0
21,0,0,S+N+E,0
22,5,0,S+E,0
23,5,0,N,0
24,5,0,N+NE,0
25,5,0,SE+S,0
26,1,0,SE,0
27,5,2,N,2
28,5,0,N,0
29,5,2,,3
30,5,0,SE,0
31,5,0,N,0
32,5,0,E+S,0
33,5,2,N,2
34,5,0,S,0
35,5,0,SE,0
36,2,0,,0
37,5,0,N+SE,0
38,5,0,E+NE+S,0
39,5,0,S,0
40,5,0,S,0
41,5,0,N,0
42,5,0,,0
43,2,0,N,0
44,5,0,N,0
45,5,0,E+NE+S,0
46,5,0,E+S,0
47,5,0,N+NE,0
48,5,0,,0
49,5,0,S,0
50,5,0,,0
51,5,0,S,0
52,5,0,N,0
53,5,0,S,0
54,5,0,N,0
55,5,0,S+SE,0
56,5,0,S+SE,0
57,5,0,,0
58,5,0,S,0
59,0,0,,0
60,5,0,,0
61,5,0,S+SE,0
62,5,0,S,0
63,5,0,S+SE,0
64,5,0,S,0
65,5,0,S,0
66,5,0,,0
67,5,0,,0
68,5,0,N,0
69,5,0,S,0
70,5,0,S,0
71,5,0,S+SE,0
72,5,0,E+S,0
73,5,0,S+SE,0
74,5,0,E+N,0
75,0,0,N+NE,0
76,5,0,N+S,0
77,5,0,S+SE,0
78,5,0,E+SE,0
79,5,0,S+SE,0
80,5,0,N+S,0
81,5,0,N+S+SE,0
82,5,0,N,0
83,5,0,N,0
84,5,0,S+SE,0
85,5,2,,3
86,5,0,S+SE,0
87,5,0,,0
88,5,0,N,0
89,5,0,S,0
90,5,0,NE,0
91,5,0,N+SE,0
92,5,2,S,2
93,5,0,E+S,0
94,5,3,N,3
95,5,0,S,0
96,5,0,,0
97,5,0,S,0
98,5,0,SE,0
99,5,0,NE+SE,0
100,5,0,,0
101,5,0,N+NE+E,0
102,5,0,S,0
103,5,2,N,2
104,5,0,S,0
105,5,2,S+SE,2
106,5,0,S,0
107,0,1,S,0
108,5,0,N+S,0
109,5,0,N+S+NE,0
110,5,0,S,0
111,5,0,N+S,0
112,5,0,N+NE+E,0
113,5,1,S+E,1
114,5,2,N,2
115,5,0,E+SE+NE,0
116,5,2,N,2
117,5,0,S+N+E,0
118,5,0,N+NE,0
119,5,0,N+S,0
120,5,0,S,0
