route_index_global;name;zone;difficulty;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
0;Agulla de Baiau;Valls del Comapedrosa;COMPLEX;6.6km;1300m;N+SE;Edificis de Prats Sobirans, a 1.560 m;Agulla de Baiau;1560;2860
1;Alt del Cubil;Cortals d'Encamp;COMPLEX;4.3km;746m;O+N;Carretera intermèdia del Funicamp, a 2.090 m (Carretera dels Cortals d’Encamp);Alt del Cubil, a 2834 m;2090;2834
2;Alt del Griu;Cortals d'Encamp;CHALLENGING;7.7km;985m;O;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Alt del Griu, a 2841m;1887;2841
3;Avetar;El Tarter i Soldeu;COMPLEX;3.6km;744m;N;Pàrquing del Tarter, a 1.710 m o pàrquing del Nòrdic, a 1.720 m.;Tosa dels Espiolets, a 2.467 m;1720;2467
4;Basses de les Salamandres;Entor;SIMPLE;2.9km;412m;S+SE;Borda del Marticella, a 1.940m;Basses de les Salamandres, a 2.343m;1940;2343
5;Bony d'Envalira;Grau Roig;COMPLEX;3.8km;674m;NO+SO+O;Aparcament de Grau Roig, a 2.100 m;Bony d'Envalira, a 2.684 m;2100;2684
6;Bony de la Pleta de Jan;Ransol;CHALLENGING;3.3km;638m;S+SE;Final carretera, a 1.953m;Bony de la Pleta de Jan, a 2.525m;1953;2525
7;Bony de les Neres;Bony de les Neres;SIMPLE;3.1km;232m;N;Pàrquing de la carretera del Coll d’Ordino, a 1.981 m;Bony de les Neres, a 2.209 m;1981;2209
8;Bosc de Soldeu;El Tarter i Soldeu;COMPLEX;3.2km;636m;N;Peu de l’estació de Soldeu, a 1.800 m;Tosa dels Espiolets, a 2.467 m;1800;2467
9;Cabana de Siscaró;Vall d'Incles i Siscaró;CHALLENGING;4.8km;389m;N+NE;Pàrquing de la vall d'Incles, a 1.750m;Cabana de Siscaró, a 2.145m;1750;2145
10;Camí­ de l'Obac;El Tarter i Soldeu;CHALLENGING;4.5km;828m;N+NE;Pàrquing del Tarter, a 1.710 m;Pic d'Encampadana, a 2.491 m;1710;2491
11;Canals de la Rabassa;Sorteny;COMPLEX;5.3km;520m;S+E+O;Pàrquing de Sorteny, a 1780m;Pàrquing de Sorteny, a 1780m;1780;1780
